
================ Hyper-parameters ================

TRAIN_PATH=./data/update_20190423/train
DEV_PATH=./data/update_20190423/dev
TEST_PATH=./data/update_20190423/test
TRAIN_FEATURES_PATH=./data/update_20190423/
DEV_FEATURES_PATH=./data/update_20190423/
TEST_FEATURES_PATH=./data/update_20190423/
MAX_SENTENCE_LENGTH=100
EMBEDDINGS=baidubaike
EMBEDDING_SIZE=300
POS_EMBEDDING_SIZE=50
EMB_DROPOUT_KEEP_PROB=0.7
HIDDEN_SIZE=300
RNN_DROPOUT_KEEP_PROB=0.7
NUM_HEADS=4
ATTENTION_SIZE=50
DESC=
DROPOUT_KEEP_PROB=0.5
L2_REG_LAMBDA=1e-05
BATCH_SIZE=520
TEST_BATCH_SIZE=256
NUM_EPOCHS=100
DISPLAY_EVERY=10
EVALUATE_EVERY=1000
NUM_CHECKPOINTS=5
LEARNING_RATE=1.0
DECAY_RATE=0.9
ALLOW_SOFT_PLACEMENT=False
LOG_DEVICE_PLACEMENT=False
GPU_ALLOW_GROWTH=True
CHECKPOINT_DIR=None

==================================================

2019-04-24T22:11:53.776984: step 10, loss 12.4012, acc 0.459615
2019-04-24T22:21:51.535331: step 1450, loss 10.1351, acc 0.928846
2019-04-24T22:21:55.214139: step 1460, loss 10.24, acc 0.9
2019-04-24T22:21:58.930998: step 1470, loss 10.2223, acc 0.909615
2019-04-24T22:22:02.623831: step 1480, loss 10.2098, acc 0.917308
2019-04-24T22:22:06.303964: step 1490, loss 10.1843, acc 0.913462
2019-04-24T22:22:10.014599: step 1500, loss 10.1624, acc 0.930769
2019-04-24T22:22:13.693250: step 1510, loss 10.1758, acc 0.903846
2019-04-24T22:22:17.381918: step 1520, loss 10.1361, acc 0.944231
2019-04-24T22:22:21.091467: step 1530, loss 10.2269, acc 0.896154
2019-04-24T22:22:24.771980: step 1540, loss 10.138, acc 0.926923
2019-04-24T22:22:28.523504: step 1550, loss 10.1425, acc 0.923077
2019-04-24T22:22:32.232091: step 1560, loss 10.1289, acc 0.923077
2019-04-24T22:22:35.943990: step 1570, loss 10.2312, acc 0.901923
2019-04-24T22:22:39.645626: step 1580, loss 10.1657, acc 0.915385
2019-04-24T22:22:43.308493: step 1590, loss 10.147, acc 0.915385
2019-04-24T22:22:46.989428: step 1600, loss 10.239, acc 0.873077
2019-04-24T22:22:50.634237: step 1610, loss 10.2183, acc 0.896154
2019-04-24T22:22:54.306652: step 1620, loss 10.1577, acc 0.913462
2019-04-24T22:22:57.930757: step 1630, loss 10.1827, acc 0.9
2019-04-24T22:23:01.589421: step 1640, loss 10.1423, acc 0.926923
2019-04-24T22:23:05.240784: step 1650, loss 10.1256, acc 0.930769
2019-04-24T22:23:08.880068: step 1660, loss 10.1094, acc 0.921154
2019-04-24T22:23:12.574066: step 1670, loss 10.1681, acc 0.907692
2019-04-24T22:23:16.246295: step 1680, loss 10.1699, acc 0.907692
2019-04-24T22:23:19.926170: step 1690, loss 10.1167, acc 0.921154
2019-04-24T22:23:23.594398: step 1700, loss 10.1114, acc 0.932692
2019-04-24T22:23:27.288459: step 1710, loss 10.141, acc 0.917308
2019-04-24T22:23:30.952960: step 1720, loss 10.1249, acc 0.917308
2019-04-24T22:23:34.680808: step 1730, loss 10.1832, acc 0.915385
2019-04-24T22:23:38.346691: step 1740, loss 10.1347, acc 0.919231
2019-04-24T22:23:42.023322: step 1750, loss 10.1372, acc 0.921154
2019-04-24T22:23:45.701563: step 1760, loss 10.0839, acc 0.944231
2019-04-24T22:23:49.414771: step 1770, loss 10.1089, acc 0.928846
2019-04-24T22:23:53.088613: step 1780, loss 10.1077, acc 0.919231
2019-04-24T22:23:56.765978: step 1790, loss 10.1161, acc 0.921154
2019-04-24T22:24:00.426576: step 1800, loss 10.1736, acc 0.884615
2019-04-24T22:24:04.029590: step 1810, loss 10.1565, acc 0.917308
2019-04-24T22:24:07.704389: step 1820, loss 10.1368, acc 0.903846
2019-04-24T22:24:11.351346: step 1830, loss 10.105, acc 0.925
2019-04-24T22:24:15.027060: step 1840, loss 10.1313, acc 0.915385
2019-04-24T22:24:18.680474: step 1850, loss 10.1275, acc 0.921154
2019-04-24T22:24:22.342716: step 1860, loss 10.0892, acc 0.928846
2019-04-24T22:24:25.988016: step 1870, loss 10.1001, acc 0.921154
2019-04-24T22:24:29.680583: step 1880, loss 10.0784, acc 0.921154
2019-04-24T22:24:33.399183: step 1890, loss 10.1203, acc 0.917308
2019-04-24T22:24:37.053791: step 1900, loss 10.0818, acc 0.928846
2019-04-24T22:24:40.744481: step 1910, loss 10.1118, acc 0.909615
2019-04-24T22:24:44.385650: step 1920, loss 10.0216, acc 0.944231
2019-04-24T22:24:48.014096: step 1930, loss 10.1194, acc 0.901923
2019-04-24T22:24:51.692958: step 1940, loss 10.0629, acc 0.925
2019-04-24T22:24:55.380414: step 1950, loss 10.0616, acc 0.921154
2019-04-24T22:24:59.015182: step 1960, loss 10.0827, acc 0.934615
2019-04-24T22:25:02.657869: step 1970, loss 10.0988, acc 0.909615
2019-04-24T22:25:06.321122: step 1980, loss 10.0958, acc 0.915385
2019-04-24T22:25:09.981434: step 1990, loss 10.1028, acc 0.903846
2019-04-24T22:25:13.638496: step 2000, loss 10.0829, acc 0.917308

Evaluation:
2019-04-24T22:25:26.893165: step 2000, loss 10.4373, acc 0.858448
<<< (50)-RELATIONSHIP EVALUATION RESULT ON DEV SET -- LIC2019 Information Extraction Task >>>:
macro-averaged Precision = 0.795983%
macro-averaged Recall = 0.765868%
macro-averaged F1-score = 0.774398%, Best = 0.774398%

2019-04-24T22:25:42.577539: step 2010, loss 10.1654, acc 0.882692
2019-04-24T22:25:46.309021: step 2020, loss 10.0363, acc 0.944231
2019-04-24T22:25:49.935347: step 2030, loss 10.0944, acc 0.919231
2019-04-24T22:25:53.580961: step 2040, loss 10.111, acc 0.901923
2019-04-24T22:25:57.238043: step 2050, loss 10.1116, acc 0.913462
2019-04-24T22:26:00.923853: step 2060, loss 10.011, acc 0.944231
2019-04-24T22:26:04.605424: step 2070, loss 10.0789, acc 0.928846
2019-04-24T22:26:08.305240: step 2080, loss 10.0234, acc 0.930769
2019-04-24T22:26:11.949700: step 2090, loss 10.0115, acc 0.926923
2019-04-24T22:26:15.598928: step 2100, loss 10.0318, acc 0.925
2019-04-24T22:26:19.285260: step 2110, loss 10.0862, acc 0.907692
2019-04-24T22:26:22.958534: step 2120, loss 10.0964, acc 0.909615
2019-04-24T22:26:26.636151: step 2130, loss 10.0828, acc 0.905769
2019-04-24T22:26:30.260017: step 2140, loss 10.0229, acc 0.930769
2019-04-24T22:26:33.896285: step 2150, loss 10.023, acc 0.932692
2019-04-24T22:26:37.587021: step 2160, loss 9.98004, acc 0.928846
2019-04-24T22:26:41.272788: step 2170, loss 10.0744, acc 0.905769
2019-04-24T22:26:44.899730: step 2180, loss 10.018, acc 0.919231
2019-04-24T22:26:48.561111: step 2190, loss 10.0631, acc 0.907692
2019-04-24T22:26:52.251374: step 2200, loss 10.0287, acc 0.915385
2019-04-24T22:26:55.894407: step 2210, loss 10.061, acc 0.903846
2019-04-24T22:26:59.584307: step 2220, loss 10.034, acc 0.925
2019-04-24T22:27:03.277627: step 2230, loss 10.1074, acc 0.894231
2019-04-24T22:27:06.916081: step 2240, loss 10.082, acc 0.905769
2019-04-24T22:27:10.626034: step 2250, loss 10.0333, acc 0.909615
2019-04-24T22:27:14.282099: step 2260, loss 10.0462, acc 0.917308
2019-04-24T22:27:17.957919: step 2270, loss 10.0018, acc 0.913462
2019-04-24T22:27:21.619512: step 2280, loss 9.99438, acc 0.925
2019-04-24T22:27:25.376155: step 2290, loss 10.073, acc 0.903846
2019-04-24T22:27:29.109341: step 2300, loss 10.0396, acc 0.915385
2019-04-24T22:27:32.787623: step 2310, loss 9.98283, acc 0.928846
2019-04-24T22:27:36.425307: step 2320, loss 9.98662, acc 0.930769
2019-04-24T22:27:40.109120: step 2330, loss 10.0148, acc 0.928846
2019-04-24T22:27:43.761210: step 2340, loss 9.98131, acc 0.936538
2019-04-24T22:27:47.480188: step 2350, loss 9.98772, acc 0.919231
2019-04-24T22:27:51.128196: step 2360, loss 10.0121, acc 0.919231
2019-04-24T22:27:54.815651: step 2370, loss 9.96098, acc 0.928846
2019-04-24T22:27:58.564552: step 2380, loss 9.9641, acc 0.925
2019-04-24T22:28:02.217718: step 2390, loss 9.94377, acc 0.930769
2019-04-24T22:28:05.913378: step 2400, loss 10.02, acc 0.911538
2019-04-24T22:28:09.562767: step 2410, loss 9.96783, acc 0.936538
2019-04-24T22:28:13.245932: step 2420, loss 10.0128, acc 0.907692
2019-04-24T22:28:16.909716: step 2430, loss 9.99079, acc 0.909615
2019-04-24T22:28:20.552926: step 2440, loss 9.93959, acc 0.938462
2019-04-24T22:28:24.245217: step 2450, loss 9.98587, acc 0.919231
2019-04-24T22:28:27.866364: step 2460, loss 9.99748, acc 0.913462
2019-04-24T22:28:31.522607: step 2470, loss 9.9925, acc 0.932692
2019-04-24T22:28:35.174693: step 2480, loss 9.94489, acc 0.934615
2019-04-24T22:28:38.807721: step 2490, loss 9.8751, acc 0.957692
2019-04-24T22:28:42.458961: step 2500, loss 9.91332, acc 0.953846
2019-04-24T22:28:46.170556: step 2510, loss 9.95847, acc 0.919231
2019-04-24T22:28:50.099469: step 2520, loss 9.9518, acc 0.936538
2019-04-24T22:28:53.832464: step 2530, loss 9.9458, acc 0.926923
2019-04-24T22:28:57.485339: step 2540, loss 9.94265, acc 0.925
2019-04-24T22:29:01.166381: step 2550, loss 9.85972, acc 0.946154
2019-04-24T22:29:04.823581: step 2560, loss 9.94096, acc 0.926923
2019-04-24T22:29:08.502768: step 2570, loss 9.84819, acc 0.953846
2019-04-24T22:29:12.171415: step 2580, loss 9.90136, acc 0.932692
2019-04-24T22:29:15.862552: step 2590, loss 9.89307, acc 0.932692
2019-04-24T22:29:19.536276: step 2600, loss 9.91749, acc 0.940385
2019-04-24T22:29:23.185034: step 2610, loss 9.91341, acc 0.934615
2019-04-24T22:29:26.818488: step 2620, loss 9.90905, acc 0.921154
2019-04-24T22:29:30.472539: step 2630, loss 9.88716, acc 0.938462
2019-04-24T22:29:34.108558: step 2640, loss 9.84195, acc 0.953846
2019-04-24T22:29:37.770142: step 2650, loss 9.88481, acc 0.936538
2019-04-24T22:29:41.424729: step 2660, loss 9.89793, acc 0.940385
2019-04-24T22:29:45.087222: step 2670, loss 9.93301, acc 0.934615
2019-04-24T22:29:48.743096: step 2680, loss 9.91886, acc 0.936538
2019-04-24T22:29:52.485128: step 2690, loss 9.9041, acc 0.923077
2019-04-24T22:29:56.133028: step 2700, loss 9.86957, acc 0.95
2019-04-24T22:29:59.858937: step 2710, loss 9.85745, acc 0.948077
2019-04-24T22:30:03.534611: step 2720, loss 9.83645, acc 0.944231
2019-04-24T22:30:07.195181: step 2730, loss 9.83784, acc 0.95
2019-04-24T22:30:10.858495: step 2740, loss 9.86983, acc 0.934615
2019-04-24T22:30:14.533769: step 2750, loss 9.87099, acc 0.936538
2019-04-24T22:30:18.200466: step 2760, loss 9.85993, acc 0.944231
2019-04-24T22:30:21.894634: step 2770, loss 9.88066, acc 0.936538
2019-04-24T22:30:25.536282: step 2780, loss 9.84919, acc 0.942308
2019-04-24T22:30:29.189804: step 2790, loss 9.85974, acc 0.936538
2019-04-24T22:30:32.864937: step 2800, loss 9.83432, acc 0.936538
2019-04-24T22:30:36.503252: step 2810, loss 9.85291, acc 0.936538
2019-04-24T22:30:40.199769: step 2820, loss 9.89971, acc 0.928846
2019-04-24T22:30:43.898272: step 2830, loss 9.86849, acc 0.925
2019-04-24T22:30:47.530373: step 2840, loss 9.85265, acc 0.936538
2019-04-24T22:30:51.184011: step 2850, loss 9.8683, acc 0.932692
2019-04-24T22:30:54.951136: step 2860, loss 9.81903, acc 0.942308
2019-04-24T22:30:58.591767: step 2870, loss 9.83911, acc 0.925
2019-04-24T22:31:02.301690: step 2880, loss 9.9081, acc 0.921154
2019-04-24T22:31:06.021334: step 2890, loss 9.86168, acc 0.932692
2019-04-24T22:31:09.682091: step 2900, loss 9.86852, acc 0.934615
2019-04-24T22:31:13.374587: step 2910, loss 9.88282, acc 0.919231
2019-04-24T22:31:17.065949: step 2920, loss 9.83206, acc 0.940385
2019-04-24T22:31:20.668594: step 2930, loss 9.82639, acc 0.934615
2019-04-24T22:31:24.337454: step 2940, loss 9.80697, acc 0.940385
2019-04-24T22:31:27.983548: step 2950, loss 9.87311, acc 0.913462
2019-04-24T22:31:31.736518: step 2960, loss 9.84621, acc 0.934615
2019-04-24T22:31:35.403729: step 2970, loss 9.82941, acc 0.940385
2019-04-24T22:31:39.062399: step 2980, loss 9.82227, acc 0.932692
2019-04-24T22:31:42.717293: step 2990, loss 9.82844, acc 0.932692
2019-04-24T22:31:46.416626: step 3000, loss 9.82306, acc 0.923077

Evaluation:
2019-04-24T22:31:59.644352: step 3000, loss 10.2172, acc 0.87724
<<< (50)-RELATIONSHIP EVALUATION RESULT ON DEV SET -- LIC2019 Information Extraction Task >>>:
macro-averaged Precision = 0.801506%
macro-averaged Recall = 0.804613%
macro-averaged F1-score = 0.797945%, Best = 0.797945%

2019-04-24T22:32:15.324843: step 3010, loss 9.85341, acc 0.932692
2019-04-24T22:32:18.977307: step 3020, loss 9.76855, acc 0.961538
2019-04-24T22:32:22.676984: step 3030, loss 9.8106, acc 0.928846
2019-04-24T22:32:26.393298: step 3040, loss 9.77388, acc 0.944231
2019-04-24T22:32:30.048388: step 3050, loss 9.83456, acc 0.926923
2019-04-24T22:32:33.735149: step 3060, loss 9.81433, acc 0.936538
2019-04-24T22:32:37.420584: step 3070, loss 9.80894, acc 0.944231
2019-04-24T22:32:41.142290: step 3080, loss 9.76806, acc 0.95
2019-04-24T22:32:44.831761: step 3090, loss 9.81088, acc 0.938462
2019-04-24T22:32:48.473159: step 3100, loss 9.76945, acc 0.944231
2019-04-24T22:32:52.138100: step 3110, loss 9.74621, acc 0.95
2019-04-24T22:32:55.784127: step 3120, loss 9.77361, acc 0.948077
2019-04-24T22:32:59.474881: step 3130, loss 9.80194, acc 0.934615
2019-04-24T22:33:03.127471: step 3140, loss 9.79566, acc 0.936538
2019-04-24T22:33:06.792934: step 3150, loss 9.84607, acc 0.925
2019-04-24T22:33:10.465024: step 3160, loss 9.8405, acc 0.919231
2019-04-24T22:33:14.143204: step 3170, loss 9.8076, acc 0.923077
2019-04-24T22:33:17.772532: step 3180, loss 9.80863, acc 0.932692
2019-04-24T22:33:21.452333: step 3190, loss 9.78231, acc 0.940385
2019-04-24T22:33:25.105973: step 3200, loss 9.75471, acc 0.936538
2019-04-24T22:33:28.758132: step 3210, loss 9.76977, acc 0.938462
2019-04-24T22:33:32.394846: step 3220, loss 9.75436, acc 0.944231
2019-04-24T22:33:36.079628: step 3230, loss 9.73058, acc 0.95
2019-04-24T22:33:39.734753: step 3240, loss 9.77888, acc 0.932692
2019-04-24T22:33:43.374459: step 3250, loss 9.7343, acc 0.940385
2019-04-24T22:33:47.046757: step 3260, loss 9.7502, acc 0.944231
2019-04-24T22:33:50.664217: step 3270, loss 9.74451, acc 0.940385
2019-04-24T22:33:54.368693: step 3280, loss 9.72792, acc 0.955769
2019-04-24T22:33:58.028707: step 3290, loss 9.77532, acc 0.930769
2019-04-24T22:34:01.681983: step 3300, loss 9.73298, acc 0.928846
2019-04-24T22:34:05.366145: step 3310, loss 9.8004, acc 0.917308
2019-04-24T22:34:09.099558: step 3320, loss 9.73322, acc 0.948077
2019-04-24T22:34:12.770093: step 3330, loss 9.75956, acc 0.942308
2019-04-24T22:34:16.446017: step 3340, loss 9.74678, acc 0.944231
2019-04-24T22:34:20.110473: step 3350, loss 9.77321, acc 0.930769
2019-04-24T22:34:23.822848: step 3360, loss 9.70987, acc 0.95
2019-04-24T22:34:27.501713: step 3370, loss 9.73474, acc 0.953846
2019-04-24T22:34:31.230301: step 3380, loss 9.73286, acc 0.930769
2019-04-24T22:34:34.830134: step 3390, loss 9.76255, acc 0.928846
