
================ Hyper-parameters ================

TRAIN_PATH=./data/update_20190419/train
DEV_PATH=./data/update_20190419/dev
TEST_PATH=./data/update_20190419/test
TRAIN_FEATURES_PATH=./data/update_20190419/
DEV_FEATURES_PATH=./data/update_20190419/
TEST_FEATURES_PATH=./data/update_20190419/
MAX_SENTENCE_LENGTH=100
EMBEDDINGS=None
EMBEDDING_SIZE=300
POS_EMBEDDING_SIZE=50
EMB_DROPOUT_KEEP_PROB=0.7
HIDDEN_SIZE=300
RNN_DROPOUT_KEEP_PROB=0.7
NUM_HEADS=4
ATTENTION_SIZE=50
DESC=
DROPOUT_KEEP_PROB=0.5
L2_REG_LAMBDA=1e-05
BATCH_SIZE=520
TEST_BATCH_SIZE=256
NUM_EPOCHS=100
DISPLAY_EVERY=10
EVALUATE_EVERY=1000
NUM_CHECKPOINTS=5
LEARNING_RATE=1.0
DECAY_RATE=0.9
ALLOW_SOFT_PLACEMENT=False
LOG_DEVICE_PLACEMENT=False
GPU_ALLOW_GROWTH=True
CHECKPOINT_DIR=None

==================================================

2019-04-22T16:17:58.351699: step 10, loss 16.4272, acc 0.0923077
2019-04-22T16:18:57.336552: step 170, loss 14.1553, acc 0.678846
2019-04-22T16:19:01.090482: step 180, loss 14.1155, acc 0.703846
2019-04-22T16:19:04.765985: step 190, loss 14.1468, acc 0.688462
2019-04-22T16:19:08.468040: step 200, loss 14.1607, acc 0.663462
2019-04-22T16:19:12.129583: step 210, loss 14.1049, acc 0.692308
2019-04-22T16:19:15.813727: step 220, loss 14.1217, acc 0.688462
2019-04-22T16:19:19.445009: step 230, loss 13.9767, acc 0.734615
2019-04-22T16:19:23.093170: step 240, loss 14.0298, acc 0.7
2019-04-22T16:19:26.715893: step 250, loss 13.9956, acc 0.7
2019-04-22T16:19:30.393314: step 260, loss 13.9198, acc 0.725
2019-04-22T16:19:34.024543: step 270, loss 13.9608, acc 0.715385
2019-04-22T16:19:37.720123: step 280, loss 13.98, acc 0.709615
2019-04-22T16:19:41.401550: step 290, loss 13.8554, acc 0.746154
2019-04-22T16:19:45.026346: step 300, loss 13.9944, acc 0.694231
2019-04-22T16:19:48.641159: step 310, loss 13.9654, acc 0.719231
2019-04-22T16:19:52.302432: step 320, loss 13.8836, acc 0.732692
2019-04-22T16:19:55.983257: step 330, loss 13.8118, acc 0.744231
2019-04-22T16:19:59.620630: step 340, loss 13.9203, acc 0.744231
2019-04-22T16:20:03.246063: step 350, loss 13.8026, acc 0.761538
2019-04-22T16:20:06.945218: step 360, loss 13.8519, acc 0.761538
2019-04-22T16:20:10.600417: step 370, loss 13.7894, acc 0.773077
2019-04-22T16:20:14.272394: step 380, loss 13.8619, acc 0.746154
2019-04-22T16:20:17.970637: step 390, loss 13.8507, acc 0.746154
2019-04-22T16:20:21.648384: step 400, loss 13.8293, acc 0.734615
2019-04-22T16:20:25.324902: step 410, loss 13.6611, acc 0.807692
2019-04-22T16:20:29.003177: step 420, loss 13.7236, acc 0.771154
2019-04-22T16:20:32.685464: step 430, loss 13.799, acc 0.761538
2019-04-22T16:20:36.349666: step 440, loss 13.8264, acc 0.740385
2019-04-22T16:20:39.998086: step 450, loss 13.679, acc 0.759615
2019-04-22T16:20:43.661801: step 460, loss 13.6535, acc 0.782692
2019-04-22T16:20:47.316937: step 470, loss 13.7523, acc 0.751923
2019-04-22T16:20:50.971759: step 480, loss 13.651, acc 0.792308
2019-04-22T16:20:54.672788: step 490, loss 13.6486, acc 0.792308
2019-04-22T16:20:58.348846: step 500, loss 13.7212, acc 0.761538
2019-04-22T16:21:01.955446: step 510, loss 13.7665, acc 0.723077
2019-04-22T16:21:05.632801: step 520, loss 13.6669, acc 0.775
2019-04-22T16:21:09.308156: step 530, loss 13.7518, acc 0.744231
2019-04-22T16:21:13.030740: step 540, loss 13.6462, acc 0.765385
2019-04-22T16:21:16.664652: step 550, loss 13.6267, acc 0.765385
2019-04-22T16:21:20.377993: step 560, loss 13.6844, acc 0.782692
2019-04-22T16:21:24.026597: step 570, loss 13.6494, acc 0.780769
2019-04-22T16:21:27.676670: step 580, loss 13.6937, acc 0.755769
2019-04-22T16:21:31.335243: step 590, loss 13.5923, acc 0.786538
2019-04-22T16:21:34.991787: step 600, loss 13.6943, acc 0.769231
2019-04-22T16:21:38.651687: step 610, loss 13.6604, acc 0.782692
2019-04-22T16:21:42.261634: step 620, loss 13.5746, acc 0.786538
2019-04-22T16:21:45.955569: step 630, loss 13.8095, acc 0.746154
2019-04-22T16:21:49.596781: step 640, loss 13.733, acc 0.744231
2019-04-22T16:21:53.275876: step 650, loss 13.6073, acc 0.794231
2019-04-22T16:21:56.939025: step 660, loss 13.5514, acc 0.8
2019-04-22T16:22:00.626278: step 670, loss 13.662, acc 0.765385
2019-04-22T16:22:04.300101: step 680, loss 13.6394, acc 0.792308
2019-04-22T16:22:07.944509: step 690, loss 13.6347, acc 0.765385
2019-04-22T16:22:11.667335: step 700, loss 13.5927, acc 0.782692
2019-04-22T16:22:15.377148: step 710, loss 13.6419, acc 0.786538
2019-04-22T16:22:19.057412: step 720, loss 13.514, acc 0.798077
2019-04-22T16:22:22.680388: step 730, loss 13.568, acc 0.769231
2019-04-22T16:22:26.346213: step 740, loss 13.5701, acc 0.794231
2019-04-22T16:22:30.021904: step 750, loss 13.5238, acc 0.801923
2019-04-22T16:22:33.847324: step 760, loss 13.4448, acc 0.830769
2019-04-22T16:22:37.519769: step 770, loss 13.4794, acc 0.811538
2019-04-22T16:22:41.256107: step 780, loss 13.4905, acc 0.805769
2019-04-22T16:22:44.937545: step 790, loss 13.5492, acc 0.776923
2019-04-22T16:22:48.567917: step 800, loss 13.4977, acc 0.809615
2019-04-22T16:22:52.255542: step 810, loss 13.4663, acc 0.798077
2019-04-22T16:22:55.917849: step 820, loss 13.487, acc 0.815385
2019-04-22T16:22:59.584014: step 830, loss 13.5366, acc 0.776923
2019-04-22T16:23:03.276608: step 840, loss 13.5405, acc 0.786538
2019-04-22T16:23:06.934158: step 850, loss 13.464, acc 0.798077
2019-04-22T16:23:10.615513: step 860, loss 13.4651, acc 0.825
2019-04-22T16:23:14.227998: step 870, loss 13.4853, acc 0.8
2019-04-22T16:23:17.948739: step 880, loss 13.5716, acc 0.788462
2019-04-22T16:23:21.526405: step 890, loss 13.5081, acc 0.801923
2019-04-22T16:23:25.190850: step 900, loss 13.4392, acc 0.809615
2019-04-22T16:23:28.880932: step 910, loss 13.4824, acc 0.807692
2019-04-22T16:23:32.486221: step 920, loss 13.486, acc 0.801923
2019-04-22T16:23:36.108732: step 930, loss 13.5066, acc 0.807692
2019-04-22T16:23:39.730296: step 940, loss 13.475, acc 0.776923
2019-04-22T16:23:43.263532: step 950, loss 13.4208, acc 0.805769
2019-04-22T16:23:46.889871: step 960, loss 13.4387, acc 0.811538
2019-04-22T16:23:50.457731: step 970, loss 13.4124, acc 0.830769
2019-04-22T16:23:54.069261: step 980, loss 13.3751, acc 0.815385
2019-04-22T16:23:57.622367: step 990, loss 13.4748, acc 0.784615
2019-04-22T16:24:01.227272: step 1000, loss 13.3894, acc 0.828846

Evaluation:
2019-04-22T16:24:14.518759: step 1000, loss 13.3942, acc 0.822308
<<< (50)-RELATIONSHIP EVALUATION RESULT ON DEV SET -- LIC2019 Information Extraction Task >>>:
macro-averaged Precision = 0.716556%
macro-averaged Recall = 0.673944%
macro-averaged F1-score = 0.684481%, Best = 0.684481%

2019-04-22T16:24:21.880939: step 1010, loss 13.401, acc 0.825
2019-04-22T16:24:25.578820: step 1020, loss 13.4177, acc 0.815385
2019-04-22T16:24:29.267266: step 1030, loss 13.3726, acc 0.844231
2019-04-22T16:24:32.941383: step 1040, loss 13.3771, acc 0.823077
2019-04-22T16:24:36.616122: step 1050, loss 13.4009, acc 0.813462
2019-04-22T16:24:40.358860: step 1060, loss 13.3352, acc 0.825
2019-04-22T16:24:44.018487: step 1070, loss 13.3657, acc 0.819231
2019-04-22T16:24:47.705351: step 1080, loss 13.383, acc 0.794231
2019-04-22T16:24:51.353229: step 1090, loss 13.4616, acc 0.780769
2019-04-22T16:24:55.011893: step 1100, loss 13.4935, acc 0.776923
2019-04-22T16:24:58.744543: step 1110, loss 13.4048, acc 0.801923
2019-04-22T16:25:02.423182: step 1120, loss 13.4121, acc 0.805769
2019-04-22T16:25:06.149950: step 1130, loss 13.3301, acc 0.823077
2019-04-22T16:25:09.876499: step 1140, loss 13.3313, acc 0.825
2019-04-22T16:25:13.536823: step 1150, loss 13.3848, acc 0.807692
2019-04-22T16:25:17.284854: step 1160, loss 13.3793, acc 0.803846
2019-04-22T16:25:21.014629: step 1170, loss 13.4234, acc 0.809615
2019-04-22T16:25:24.673668: step 1180, loss 13.3899, acc 0.796154
2019-04-22T16:25:28.420444: step 1190, loss 13.3362, acc 0.798077
2019-04-22T16:25:32.163688: step 1200, loss 13.3036, acc 0.830769
2019-04-22T16:25:35.809255: step 1210, loss 13.356, acc 0.817308
2019-04-22T16:25:39.498899: step 1220, loss 13.4125, acc 0.778846
2019-04-22T16:25:43.238321: step 1230, loss 13.3297, acc 0.815385
2019-04-22T16:25:46.870410: step 1240, loss 13.4126, acc 0.792308
2019-04-22T16:25:50.592067: step 1250, loss 13.3392, acc 0.836538
2019-04-22T16:25:54.274344: step 1260, loss 13.3568, acc 0.805769
2019-04-22T16:25:57.855499: step 1270, loss 13.3169, acc 0.813462
2019-04-22T16:26:01.511517: step 1280, loss 13.2765, acc 0.834615
2019-04-22T16:26:05.187443: step 1290, loss 13.2885, acc 0.825
2019-04-22T16:26:08.852290: step 1300, loss 13.2906, acc 0.805769
2019-04-22T16:26:12.495294: step 1310, loss 13.3569, acc 0.803846
2019-04-22T16:26:16.055169: step 1320, loss 13.2509, acc 0.832692
2019-04-22T16:26:19.714007: step 1330, loss 13.2875, acc 0.817308
2019-04-22T16:26:23.338776: step 1340, loss 13.2811, acc 0.823077
2019-04-22T16:26:27.024405: step 1350, loss 13.2382, acc 0.825
2019-04-22T16:26:30.650728: step 1360, loss 13.244, acc 0.834615
2019-04-22T16:26:34.263164: step 1370, loss 13.2356, acc 0.832692
2019-04-22T16:26:37.942066: step 1380, loss 13.3575, acc 0.790385
2019-04-22T16:26:41.616021: step 1390, loss 13.2505, acc 0.826923
2019-04-22T16:26:45.288050: step 1400, loss 13.3489, acc 0.811538
2019-04-22T16:26:48.936994: step 1410, loss 13.1839, acc 0.842308
2019-04-22T16:26:52.650132: step 1420, loss 13.2973, acc 0.823077
2019-04-22T16:26:56.293905: step 1430, loss 13.338, acc 0.784615
2019-04-22T16:27:00.022882: step 1440, loss 13.3141, acc 0.813462
2019-04-22T16:27:03.709036: step 1450, loss 13.3843, acc 0.778846
2019-04-22T16:27:07.341379: step 1460, loss 13.2845, acc 0.807692
2019-04-22T16:27:10.992990: step 1470, loss 13.1543, acc 0.855769
2019-04-22T16:27:14.663570: step 1480, loss 13.234, acc 0.821154
2019-04-22T16:27:18.358583: step 1490, loss 13.238, acc 0.826923
2019-04-22T16:27:22.002604: step 1500, loss 13.2203, acc 0.828846
2019-04-22T16:27:25.884143: step 1510, loss 13.1543, acc 0.830769
2019-04-22T16:27:29.545717: step 1520, loss 13.3036, acc 0.813462
2019-04-22T16:27:33.177958: step 1530, loss 13.1537, acc 0.838462
2019-04-22T16:27:36.834752: step 1540, loss 13.2723, acc 0.805769
2019-04-22T16:27:40.503401: step 1550, loss 13.2525, acc 0.819231
2019-04-22T16:27:44.170178: step 1560, loss 13.1225, acc 0.846154
2019-04-22T16:27:47.759665: step 1570, loss 13.1535, acc 0.840385
2019-04-22T16:27:51.437314: step 1580, loss 13.285, acc 0.8
2019-04-22T16:27:55.140612: step 1590, loss 13.1355, acc 0.838462
2019-04-22T16:27:58.778347: step 1600, loss 13.3107, acc 0.813462
2019-04-22T16:28:02.408944: step 1610, loss 13.0919, acc 0.855769
2019-04-22T16:28:06.007116: step 1620, loss 13.2225, acc 0.811538
2019-04-22T16:28:09.676627: step 1630, loss 13.1844, acc 0.815385
2019-04-22T16:28:13.385876: step 1640, loss 13.1664, acc 0.830769
2019-04-22T16:28:17.040057: step 1650, loss 13.2284, acc 0.813462
2019-04-22T16:28:20.668378: step 1660, loss 13.2013, acc 0.815385
2019-04-22T16:28:24.276577: step 1670, loss 13.0732, acc 0.85
2019-04-22T16:28:27.917098: step 1680, loss 13.1331, acc 0.842308
2019-04-22T16:28:31.525943: step 1690, loss 13.2855, acc 0.792308
2019-04-22T16:28:35.159145: step 1700, loss 13.0955, acc 0.842308
2019-04-22T16:28:38.823447: step 1710, loss 13.1665, acc 0.823077
2019-04-22T16:28:42.457744: step 1720, loss 13.2433, acc 0.813462
2019-04-22T16:28:46.146631: step 1730, loss 13.101, acc 0.836538
2019-04-22T16:28:49.772155: step 1740, loss 13.1787, acc 0.836538
2019-04-22T16:28:53.415666: step 1750, loss 13.1125, acc 0.842308
2019-04-22T16:28:57.073816: step 1760, loss 13.0455, acc 0.846154
2019-04-22T16:29:00.736914: step 1770, loss 13.1338, acc 0.828846
2019-04-22T16:29:04.337733: step 1780, loss 13.2263, acc 0.801923
2019-04-22T16:29:08.018915: step 1790, loss 13.0595, acc 0.848077
2019-04-22T16:29:11.624837: step 1800, loss 13.1456, acc 0.825
2019-04-22T16:29:15.250349: step 1810, loss 13.1931, acc 0.801923
2019-04-22T16:29:18.895442: step 1820, loss 13.0319, acc 0.85
2019-04-22T16:29:22.492583: step 1830, loss 13.1955, acc 0.813462
2019-04-22T16:29:26.031110: step 1840, loss 13.1214, acc 0.823077
2019-04-22T16:29:29.606829: step 1850, loss 13.0499, acc 0.865385
2019-04-22T16:29:33.262418: step 1860, loss 13.0123, acc 0.853846
2019-04-22T16:29:36.879368: step 1870, loss 13.1592, acc 0.823077
2019-04-22T16:29:40.538895: step 1880, loss 13.0823, acc 0.848077
2019-04-22T16:29:44.156769: step 1890, loss 12.9524, acc 0.873077
2019-04-22T16:29:47.789216: step 1900, loss 13.09, acc 0.834615
2019-04-22T16:29:51.425079: step 1910, loss 13.1633, acc 0.794231
2019-04-22T16:29:55.113284: step 1920, loss 13.1485, acc 0.821154
2019-04-22T16:29:58.745517: step 1930, loss 13.0979, acc 0.825
2019-04-22T16:30:02.453138: step 1940, loss 13.1009, acc 0.826923
2019-04-22T16:30:06.055081: step 1950, loss 13.0766, acc 0.826923
2019-04-22T16:30:09.649150: step 1960, loss 13.0847, acc 0.821154
2019-04-22T16:30:13.249676: step 1970, loss 13.1483, acc 0.834615
2019-04-22T16:30:16.901186: step 1980, loss 13.1432, acc 0.823077
2019-04-22T16:30:20.542964: step 1990, loss 13.0707, acc 0.846154
2019-04-22T16:30:24.208065: step 2000, loss 13.1103, acc 0.817308

Evaluation:
2019-04-22T16:30:37.275924: step 2000, loss 13.0475, acc 0.846541
<<< (50)-RELATIONSHIP EVALUATION RESULT ON DEV SET -- LIC2019 Information Extraction Task >>>:
macro-averaged Precision = 0.760069%
macro-averaged Recall = 0.718946%
macro-averaged F1-score = 0.73061%, Best = 0.73061%

2019-04-22T16:30:43.951491: step 2010, loss 13.1291, acc 0.821154
2019-04-22T16:30:47.651664: step 2020, loss 13.1684, acc 0.826923
2019-04-22T16:30:51.244844: step 2030, loss 13.1155, acc 0.811538
2019-04-22T16:30:54.923160: step 2040, loss 13.1409, acc 0.8
2019-04-22T16:30:58.552855: step 2050, loss 13.0538, acc 0.842308
2019-04-22T16:31:02.266524: step 2060, loss 12.9936, acc 0.846154
2019-04-22T16:31:05.924777: step 2070, loss 12.9725, acc 0.853846
2019-04-22T16:31:09.553977: step 2080, loss 13.0963, acc 0.811538
2019-04-22T16:31:13.244723: step 2090, loss 13.096, acc 0.828846
2019-04-22T16:31:16.923715: step 2100, loss 13.0671, acc 0.826923
2019-04-22T16:31:20.533823: step 2110, loss 12.9953, acc 0.848077
2019-04-22T16:31:24.208430: step 2120, loss 13.0734, acc 0.832692
2019-04-22T16:31:27.851638: step 2130, loss 12.9039, acc 0.871154
2019-04-22T16:31:31.481389: step 2140, loss 12.9257, acc 0.857692
2019-04-22T16:31:35.145611: step 2150, loss 12.9929, acc 0.85
2019-04-22T16:31:38.690021: step 2160, loss 12.9598, acc 0.85
2019-04-22T16:31:42.372410: step 2170, loss 12.9292, acc 0.857692
2019-04-22T16:31:45.980558: step 2180, loss 12.9631, acc 0.832692
2019-04-22T16:31:49.565556: step 2190, loss 13.091, acc 0.836538
2019-04-22T16:31:53.200499: step 2200, loss 13.022, acc 0.821154
2019-04-22T16:31:56.841285: step 2210, loss 13.0345, acc 0.844231
2019-04-22T16:32:00.500326: step 2220, loss 12.9913, acc 0.840385
2019-04-22T16:32:04.224016: step 2230, loss 13.0285, acc 0.832692
2019-04-22T16:32:07.880581: step 2240, loss 12.9773, acc 0.840385
2019-04-22T16:32:11.485251: step 2250, loss 13.0647, acc 0.807692
2019-04-22T16:32:15.268876: step 2260, loss 13.0424, acc 0.819231
2019-04-22T16:32:18.916727: step 2270, loss 12.9674, acc 0.842308
2019-04-22T16:32:22.613914: step 2280, loss 12.9383, acc 0.848077
2019-04-22T16:32:26.268137: step 2290, loss 12.8649, acc 0.880769
2019-04-22T16:32:29.925889: step 2300, loss 13.002, acc 0.836538
2019-04-22T16:32:33.643406: step 2310, loss 12.9345, acc 0.85
2019-04-22T16:32:37.245628: step 2320, loss 12.9745, acc 0.840385
2019-04-22T16:32:40.840954: step 2330, loss 12.9186, acc 0.855769
2019-04-22T16:32:44.443168: step 2340, loss 12.9187, acc 0.857692
2019-04-22T16:32:48.105623: step 2350, loss 12.9317, acc 0.851923
2019-04-22T16:32:51.736529: step 2360, loss 12.974, acc 0.834615
2019-04-22T16:32:55.315938: step 2370, loss 12.9151, acc 0.855769
2019-04-22T16:32:58.960893: step 2380, loss 12.9131, acc 0.857692
2019-04-22T16:33:02.607614: step 2390, loss 12.9989, acc 0.813462
2019-04-22T16:33:06.272417: step 2400, loss 12.9152, acc 0.867308
2019-04-22T16:33:09.890332: step 2410, loss 12.9228, acc 0.844231
2019-04-22T16:33:13.541719: step 2420, loss 12.9065, acc 0.848077
2019-04-22T16:33:17.150129: step 2430, loss 12.8898, acc 0.857692
2019-04-22T16:33:20.832826: step 2440, loss 12.9558, acc 0.825
2019-04-22T16:33:24.491036: step 2450, loss 12.9197, acc 0.836538
2019-04-22T16:33:28.217092: step 2460, loss 12.9967, acc 0.838462
2019-04-22T16:33:31.839278: step 2470, loss 12.93, acc 0.840385
2019-04-22T16:33:35.487272: step 2480, loss 12.8466, acc 0.882692
2019-04-22T16:33:39.095531: step 2490, loss 12.8923, acc 0.853846
2019-04-22T16:33:42.683459: step 2500, loss 12.936, acc 0.857692
2019-04-22T16:33:46.293944: step 2510, loss 12.8726, acc 0.857692
2019-04-22T16:33:49.931984: step 2520, loss 12.8901, acc 0.859615
2019-04-22T16:33:53.573910: step 2530, loss 12.8745, acc 0.863462
2019-04-22T16:33:57.233350: step 2540, loss 12.864, acc 0.85
2019-04-22T16:34:00.914000: step 2550, loss 12.9131, acc 0.846154
2019-04-22T16:34:04.519542: step 2560, loss 12.8872, acc 0.863462
2019-04-22T16:34:08.152980: step 2570, loss 12.8791, acc 0.855769
2019-04-22T16:34:11.824593: step 2580, loss 12.9016, acc 0.826923
2019-04-22T16:34:15.470458: step 2590, loss 12.7894, acc 0.842308
2019-04-22T16:34:19.070167: step 2600, loss 12.8311, acc 0.861538
2019-04-22T16:34:22.714563: step 2610, loss 12.8502, acc 0.85
2019-04-22T16:34:26.304594: step 2620, loss 12.929, acc 0.834615
2019-04-22T16:34:29.937464: step 2630, loss 12.8689, acc 0.834615
2019-04-22T16:34:33.571717: step 2640, loss 12.8237, acc 0.859615
2019-04-22T16:34:37.299893: step 2650, loss 13.0253, acc 0.803846
2019-04-22T16:34:40.886482: step 2660, loss 12.8216, acc 0.857692
2019-04-22T16:34:44.522836: step 2670, loss 12.8291, acc 0.842308
2019-04-22T16:34:48.186162: step 2680, loss 12.8196, acc 0.846154
2019-04-22T16:34:51.880813: step 2690, loss 12.765, acc 0.878846
2019-04-22T16:34:55.569351: step 2700, loss 12.9497, acc 0.819231
2019-04-22T16:34:59.160155: step 2710, loss 12.812, acc 0.857692
2019-04-22T16:35:02.812319: step 2720, loss 12.8767, acc 0.836538
2019-04-22T16:35:06.498455: step 2730, loss 12.8013, acc 0.85
2019-04-22T16:35:10.113565: step 2740, loss 12.8216, acc 0.855769
2019-04-22T16:35:13.757136: step 2750, loss 12.8031, acc 0.865385
2019-04-22T16:35:17.406758: step 2760, loss 12.844, acc 0.848077
2019-04-22T16:35:21.081569: step 2770, loss 12.9613, acc 0.811538
2019-04-22T16:35:24.715499: step 2780, loss 12.8912, acc 0.832692
2019-04-22T16:35:28.274302: step 2790, loss 12.7694, acc 0.861538
2019-04-22T16:35:31.858288: step 2800, loss 12.7551, acc 0.878846
2019-04-22T16:35:35.534382: step 2810, loss 12.8084, acc 0.848077
2019-04-22T16:35:39.212445: step 2820, loss 12.7904, acc 0.855769
2019-04-22T16:35:42.832689: step 2830, loss 12.8914, acc 0.825
2019-04-22T16:35:46.470153: step 2840, loss 12.8359, acc 0.830769
2019-04-22T16:35:50.156067: step 2850, loss 12.8055, acc 0.848077
2019-04-22T16:35:53.766162: step 2860, loss 12.7281, acc 0.875
2019-04-22T16:35:57.398717: step 2870, loss 12.813, acc 0.844231
2019-04-22T16:36:00.985216: step 2880, loss 12.7922, acc 0.85
2019-04-22T16:36:04.650135: step 2890, loss 12.7827, acc 0.848077
2019-04-22T16:36:08.243540: step 2900, loss 12.8302, acc 0.844231
2019-04-22T16:36:11.922040: step 2910, loss 12.7729, acc 0.846154
2019-04-22T16:36:15.545896: step 2920, loss 12.7939, acc 0.857692
2019-04-22T16:36:19.212619: step 2930, loss 12.7575, acc 0.85
2019-04-22T16:36:22.875367: step 2940, loss 12.8183, acc 0.844231
2019-04-22T16:36:26.560308: step 2950, loss 12.7703, acc 0.851923
2019-04-22T16:36:30.266603: step 2960, loss 12.8109, acc 0.838462
2019-04-22T16:36:33.906688: step 2970, loss 12.6425, acc 0.894231
2019-04-22T16:36:37.572783: step 2980, loss 12.7979, acc 0.836538
2019-04-22T16:36:41.218055: step 2990, loss 12.8599, acc 0.817308
2019-04-22T16:36:44.914424: step 3000, loss 12.7175, acc 0.865385

Evaluation:
2019-04-22T16:36:57.870960: step 3000, loss 12.743, acc 0.858815
<<< (50)-RELATIONSHIP EVALUATION RESULT ON DEV SET -- LIC2019 Information Extraction Task >>>:
macro-averaged Precision = 0.792297%
macro-averaged Recall = 0.741437%
macro-averaged F1-score = 0.753176%, Best = 0.753176%

2019-04-22T16:37:04.777750: step 3010, loss 12.7646, acc 0.846154
2019-04-22T16:37:08.497443: step 3020, loss 12.7601, acc 0.846154
2019-04-22T16:37:12.128124: step 3030, loss 12.75, acc 0.853846
2019-04-22T16:37:15.801756: step 3040, loss 12.7204, acc 0.844231
2019-04-22T16:37:19.426866: step 3050, loss 12.7408, acc 0.853846
2019-04-22T16:37:23.094592: step 3060, loss 12.6821, acc 0.863462
2019-04-22T16:37:26.730730: step 3070, loss 12.7613, acc 0.836538
2019-04-22T16:37:30.412137: step 3080, loss 12.6879, acc 0.857692
2019-04-22T16:37:34.066658: step 3090, loss 12.6494, acc 0.878846
2019-04-22T16:37:37.718205: step 3100, loss 12.6618, acc 0.861538
2019-04-22T16:37:41.344561: step 3110, loss 12.7142, acc 0.848077
2019-04-22T16:37:45.003058: step 3120, loss 12.8154, acc 0.821154
2019-04-22T16:37:48.690012: step 3130, loss 12.6795, acc 0.867308
2019-04-22T16:37:52.328260: step 3140, loss 12.6689, acc 0.863462
2019-04-22T16:37:55.977768: step 3150, loss 12.7555, acc 0.848077
2019-04-22T16:37:59.615313: step 3160, loss 12.7754, acc 0.838462
2019-04-22T16:38:03.251758: step 3170, loss 12.7078, acc 0.861538
2019-04-22T16:38:06.863511: step 3180, loss 12.7108, acc 0.869231
2019-04-22T16:38:10.487851: step 3190, loss 12.7278, acc 0.834615
2019-04-22T16:38:14.169567: step 3200, loss 12.7612, acc 0.851923
2019-04-22T16:38:17.834179: step 3210, loss 12.7884, acc 0.846154
2019-04-22T16:38:21.512959: step 3220, loss 12.652, acc 0.863462
2019-04-22T16:38:25.159743: step 3230, loss 12.5928, acc 0.888462
2019-04-22T16:38:28.862097: step 3240, loss 12.7609, acc 0.842308
2019-04-22T16:38:32.485180: step 3250, loss 12.6917, acc 0.857692
2019-04-22T16:38:36.121036: step 3260, loss 12.6341, acc 0.853846
2019-04-22T16:38:39.765219: step 3270, loss 12.6426, acc 0.863462
2019-04-22T16:38:43.456483: step 3280, loss 12.6553, acc 0.871154
2019-04-22T16:38:47.130135: step 3290, loss 12.7198, acc 0.838462
2019-04-22T16:38:50.791673: step 3300, loss 12.6748, acc 0.859615
2019-04-22T16:38:54.490051: step 3310, loss 12.5949, acc 0.873077
2019-04-22T16:38:58.093358: step 3320, loss 12.5971, acc 0.869231
2019-04-22T16:39:01.738469: step 3330, loss 12.6337, acc 0.875
2019-04-22T16:39:05.398944: step 3340, loss 12.6914, acc 0.846154
2019-04-22T16:39:09.089653: step 3350, loss 12.7123, acc 0.853846
2019-04-22T16:39:12.773027: step 3360, loss 12.5814, acc 0.880769
2019-04-22T16:39:16.424902: step 3370, loss 12.6346, acc 0.848077
2019-04-22T16:39:20.203550: step 3380, loss 12.6386, acc 0.865385
2019-04-22T16:39:23.812109: step 3390, loss 12.5913, acc 0.871154
